,token_index,value
2395,3860,86.09418
2396,3862,93.44815
2397,3864,21.550217
2398,3866,136.76082
2399,3867,21.61264
2400,3868,31.440441
2401,3869,9.199892
2402,3870,28.948133
2403,3871,98.96468
2404,3873,121.082375
2405,3874,72.417656
2406,3875,12.543469
2407,3877,18.577541
2408,3878,103.22398
2409,3879,16.434822
2410,3886,22.392363
2411,3888,15.428785
2412,3889,30.926708
2413,3890,66.06106
2414,3891,22.822289
2415,3892,30.950167
2416,3893,27.858376
2417,3894,8.677458
2418,3896,41.107292
2419,3897,89.35384
2420,3899,18.38639
2421,3900,81.40967
2422,3901,47.0016
2423,3903,26.585321
2424,3904,31.301394
2425,3905,55.76104
2426,3906,95.740715
2427,3907,88.99901
2428,3909,18.54334
2429,3910,46.72603
2430,3911,40.465393
2431,3912,16.144594
2432,3913,18.033245
2433,3914,85.61308
2434,3915,72.246475
2435,3917,67.951004
2436,3919,38.760162
2437,3920,101.813965
2438,3921,44.57858
2439,3922,98.371635
2440,3923,20.364012
2441,3924,41.408714
2442,3926,72.00668
2443,3927,80.262856
2444,3928,23.03362
2445,3929,70.41906
2446,3930,17.07267
2447,3931,9.364289
2448,3932,57.1226
2449,3934,10.855266
2450,3935,67.71919
2451,3936,72.708115
2452,3937,124.17713
2453,3938,66.68324
2454,3940,23.151642
2455,3941,69.82762
2456,3944,96.93075
2457,3945,22.339254
2458,3946,25.024332
2459,3947,20.77245
2460,3949,38.265842
2461,3950,39.527622
2462,3951,67.262764
2463,3952,76.66454
2464,3954,27.68469
2465,3955,27.976131
2466,3956,32.09121
2467,3957,22.562574
2468,3958,43.02555
2469,3959,20.816095
2470,3960,70.500336
2471,3961,39.05698
2472,3963,62.770203
2473,3964,78.55426
2474,3965,34.389362
2475,3966,75.06135
2476,3967,15.578072
2477,3968,76.152145
2478,3969,94.065315
2479,3970,86.00859
2480,3971,11.816229
2481,3972,21.66298
2482,3974,69.40119
2483,3975,19.833635
2484,3976,100.99162
2485,3978,82.233925
2486,3979,26.409094
2487,3980,83.22934
2488,3981,20.145065
2489,3982,82.598755
2490,3985,77.72928
2491,3986,17.640614
2492,3987,26.021585
2493,3988,92.63997
2494,3989,41.791283
2495,3990,241.39656
2496,3991,41.59001
2497,3993,38.852776
2498,3994,135.17598
2499,3995,59.525284
2500,3996,76.192055
2501,3997,24.780502
2502,3999,15.86938
2503,4000,75.726685
2504,4002,20.452234
2505,4003,38.97756
2506,4005,18.795994
2507,4006,32.01319
2508,4007,124.08953
2509,4008,68.15935
2510,4009,27.760653
